time,PHOT,WTON,HROR,ES_Hydro reservoir,ES_Pumped storage fleet,ES_Waste fleet,ES_Biomass fleet,ES_OCGT fleet Standard,ES_CCGT fleet cogen
2016-01-03 03:00:00,0,0.20497,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 04:00:00,0,0.20835,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 05:00:00,0,0.20759,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 06:00:00,0,0.21165,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 07:00:00,0,0.21981,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 08:00:00,0.150943396226415,0.20988,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 09:00:00,0.405329407221979,0.16671,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 10:00:00,0.540305289658607,0.12604,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 11:00:00,0.621355060034305,0.1069,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 12:00:00,0.649599517437707,0.10441,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 13:00:00,0.629716981132076,0.09893,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 14:00:00,0.556818181818182,0.08897,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 15:00:00,0.41320505405082,0.09874,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 16:00:00,0.185251248783088,0.11565,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 17:00:00,0,0.13622,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 18:00:00,0,0.14677,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 19:00:00,0,0.15908,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 20:00:00,0,0.16839,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 21:00:00,0,0.19289,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 22:00:00,0,0.21305,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-03 23:00:00,0,0.20816,0.367312465873434,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 00:00:00,0,0.21106,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 01:00:00,0,0.21779,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 02:00:00,0,0.2302,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 03:00:00,0,0.24296,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 04:00:00,0,0.26287,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 05:00:00,0,0.26573,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 06:00:00,0,0.25401,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 07:00:00,0,0.23278,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 08:00:00,0.13689571883642,0.20669,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 09:00:00,0.339886092545494,0.16272,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 10:00:00,0.487778730703259,0.14029,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 11:00:00,0.570135019478744,0.13259,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 12:00:00,0.594018599973205,0.13271,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 13:00:00,0.578473413379074,0.13356,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 14:00:00,0.508080884011125,0.12867,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 15:00:00,0.386578044596913,0.12448,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 16:00:00,0.18320891424138,0.13224,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 17:00:00,0,0.14699,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 18:00:00,0,0.15627,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 19:00:00,0,0.16306,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 20:00:00,0,0.1634,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 21:00:00,0,0.15887,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 22:00:00,0,0.14551,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-04 23:00:00,0,0.1367,0.321535598616776,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 00:00:00,0,0.12747,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 01:00:00,0,0.1232,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 02:00:00,0,0.122,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 03:00:00,0,0.11532,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 04:00:00,0,0.11374,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 05:00:00,0,0.11093,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 06:00:00,0,0.11127,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 07:00:00,0,0.11062,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 08:00:00,0.144761402119893,0.10186,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 09:00:00,0.363636363636364,0.0811,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 10:00:00,0.507151407947398,0.07685,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 11:00:00,0.585491508226028,0.07861,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 12:00:00,0.608485599051637,0.07995,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 13:00:00,0.594605047624826,0.07939,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 14:00:00,0.528539625949185,0.07229,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 15:00:00,0.403189826740218,0.0702,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 16:00:00,0.18929289643343,0.07665,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 17:00:00,0,0.08232,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 18:00:00,0,0.08151,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 19:00:00,0,0.07701,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 20:00:00,0,0.07376,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 21:00:00,0,0.07087,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 22:00:00,0,0.07436,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-05 23:00:00,0,0.07737,0.236250250632851,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 00:00:00,0,0.08103,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 01:00:00,0,0.08387,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 02:00:00,0,0.09098,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 03:00:00,0,0.0992,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 04:00:00,0,0.10752,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 05:00:00,0,0.11023,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 06:00:00,0,0.10432,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 07:00:00,0,0.10033,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 08:00:00,0.119339441706291,0.0806,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 09:00:00,0.294127536883602,0.04406,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 10:00:00,0.425020790465673,0.03598,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 11:00:00,0.490566037735849,0.03764,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 12:00:00,0.530602853198343,0.0431,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 13:00:00,0.521012006861063,0.05702,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 14:00:00,0.459224553822295,0.06072,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 15:00:00,0.327764933999552,0.05433,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 16:00:00,0.16095695903432,0.04993,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 17:00:00,0,0.05584,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 18:00:00,0,0.05663,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 19:00:00,0,0.05444,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 20:00:00,0,0.05053,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 21:00:00,0,0.04833,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 22:00:00,0,0.04581,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-06 23:00:00,0,0.04571,0.172677943780803,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 00:00:00,0,0.04529,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 01:00:00,0,0.03864,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 02:00:00,0,0.03243,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 03:00:00,0,0.03,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 04:00:00,0,0.02653,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 05:00:00,0,0.02121,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 06:00:00,0,0.01885,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 07:00:00,0,0.01783,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 08:00:00,0.12256354280368,0.0174,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 09:00:00,0.305317324185249,0.0058,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 10:00:00,0.4397512864494,0.00415,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 11:00:00,0.53945533404726,0.003,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 12:00:00,0.579153049276647,0.00169,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 13:00:00,0.570928852998584,0.00087,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 14:00:00,0.50405575770188,0.00041,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 15:00:00,0.384433962264151,0.00058,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 16:00:00,0.192689617334124,0.00242,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 17:00:00,0,0.00974,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 18:00:00,0,0.01998,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 19:00:00,0,0.03137,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 20:00:00,0,0.04217,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 21:00:00,0,0.04728,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 22:00:00,0,0.05397,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-07 23:00:00,0,0.06327,0.264366541033792,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 00:00:00,0,0.07678,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 01:00:00,0,0.09061,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 02:00:00,0,0.10539,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 03:00:00,0,0.10473,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 04:00:00,0,0.10242,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 05:00:00,0,0.09965,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 06:00:00,0,0.09529,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 07:00:00,0,0.09363,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 08:00:00,0.137864493996569,0.08997,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 09:00:00,0.328154835107932,0.08245,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
